Employee_id,YOE,Designation,Skill1,Rating1,Classification1,Skill2,Rating2,Classification2,Skill3,Rating3,Classification3,Skill4,Rating4,Classification4,Skill5,Rating5,Classification5,Skill6,Rating6,Classification6,Skill7,Rating7,Classification7,Skill8,Rating8,Classification8,Skill9,Rating9,Classification9,Skill10,Rating10,Classification10,Skill11,Rating11,Classification11
E1,16,LQAS,Finance,8,Domain,Data_Analysis,7,Soft,Card_Analytics,9,Domain,Contact_Center_Analytics,5,Domain,Presentation,7,Soft,Python,8,Technical,Statistical_modelling,8,Maths,Deep_Learning,6,ML_AI,Capital_Market_Analysis,8,Domain,Pyspark,7,Technical,SAS,7,Technical
E2,3,QAS,Python,8,Technical,Time_Series_Analysis,8,Maths,Data_Visualization,7,Technical,Presentation,9,Soft,Classical_ML,3,ML_AI,NLP,4,ML_AI,Statistical_algorithms,9,Maths,Hypothesis_Testing,9,Maths,Inferential_Statistics,9,Maths,Optimization_algorithms,9,Soft,Payments_ecosystem_understanding,9,Domain
E3,0,PA,Python,6,Technical,R,4,Technical,SQL,5,Technical,Excel,6,Technical,Communication,6,Soft,Tableau,6,Technical,CPP,6,Technical,C,5,Technical,MATLAB,7,Technical,Statistics,7,Maths,Classical_ML,7,ML_AI
E4,2,QAS,Python,8,Technical,Pyspark,7,Technical,Linear_Algebra,8,Maths,Inferential_Statistics,8,Maths,Classical_ML,7,ML_AI,Classical_ML,6,ML_AI,Payments_initiation_channel,7,Domain,Git,7,Technical,Time_Series_Analysis,8,Maths,R,5,Technical,Presentation,5,Soft
E5,3,QAS,Classical_ML,9,ML_AI,Deep_Learning,7,Maths,Call_Network_Architecture,8,Domain,Coding_Skills_for_ML,8,Technical,Statistics,8,Maths,Optimization_algorithms,9,Maths,NLP,6,ML_AI,AIMDCoE_Processes,9,Domain,Communication,9,Soft,Linear_Algebra,9,Maths,Reporting_and_documentation,9,Soft
E6,5,SQAS,Statistical_Analysis,7,Maths,Classical_ML,8,ML_AI,Python,8,Technical,Big_Data_Management,7,Technical,Statistical_Time_series,5,Maths,Stakeholder_Management,8,Soft,Communication,9,Soft,NLP,6,ML_AI,Payments_ecosystem_understanding,6,Domain,Data_Visualization,7,Technical,Deep_Learning,7,ML_AI
E7,5,QAS,Python,8,Technical,R,8,Technical,Classical_ML,8,ML_AI,Deep_Learning,7,ML_AI,NLP,8,ML_AI,Transformer_NLP,5,ML_AI,Azure_ML,7,Technical,Tableau,5,Technical,Data_Analysis,8,ML_AI,Statistical_Analysis,7,Maths,Model_deployment,7,Technical
E8,0,PA,Computer_Vision,8,ML_AI,Time_Series_Analysis,7,ML_AI,Stochastic_Process,7,Maths,Inferential_Statistics,9,Maths,NLP,8,ML_AI,R,9,Technical,Python,7,Technical,SQL,7,Technical,Data_Visualization,9,Technical,Linear_Algebra,6,Maths,Financial_Modelling,6,Domain
E9,6,QAS,ML,7,ML_AI,Deep_Learning,7,ML_AI,NLP,6,ML_AI,Python,8,Technical,Pyspark,6,Technical,Client_Relationship_Management,7,Soft,Data_Visualization,7,Technical,SQL,9,Technical,Prompt_Engineering,5,ML_AI,Statistical_Analysis,8,Maths,Banking,8,Domain
E10,5,QAS,Python,8,Technical,Computer_Vision,8,ML_AI,Cloud_computing,7,Technical,Deep_Learning,8,ML_AI,Data_Analytics,8,ML_AI,Communication,6,Soft,Critical_Thinking,6,Soft,EDA,7,ML_AI,Statistics,7,Maths,Model_deployment,5,ML_AI,Data_Visualization,5,Technical
E11,4,SQAS,Excel,6,Technical,Python,7,Technical,Classical_ML,6,ML_AI,NLP,6,ML_AI,Linear_Algebra,7,Maths,Calculus,7,Maths,Inferential_Statistics,7,Maths,Operations_Research,6,Maths,Communication,5,Soft,Presentation,5,Soft,Banking,5,Domain
E12,13,LQAS,Python,9,ML_AI,R,8,Technical,Probability,9,Maths,Statistics,8,Maths,Classical_ML,8,ML_AI,Deep_Learning,6,ML_AI,SQL,8,Technical,Google_Cloud,6,Technical,Pyspark,8,Technical,Tableau,7,Technical,Communication,7,Soft
E13,5,SQAS,Statistical_Analysis,7,Maths,Data_Mining,7,ML_AI,Financial_Analysis,5,Domain,Programming,7,Technical,Presentation,7,Soft,Classical_ML,7,ML_AI,MLOps,6,Technical,Deep_Learning,5,ML_AI,Linear_Algebra,7,Maths,NLP,6,ML_AI,Project_Management,6,Soft
E14,3,QAS,Python,8,ML_AI,Pyspark,7,ML_AI,Statistical_Analysis,6,Maths,NLP,6,ML_AI,Computer_Vision,5,ML_AI,Data_Mining,6,Technical,Product_Management,8,Domain,Data_Visualization,6,ML_AI,Data_Modelling,8,ML_AI,Data_Pipelining,6,ML_AI,Reinforcement_Learning,6,ML_AI
E15,3,QAS,Classical_ML,9,ML_AI,Deep_Learning,9,ML_AI,Statistical_Analysis,9,Maths,Python,9,Technical,CPP,8,Technical,Quant_finance,8,Domain,Algorithmic_Trade,8,Technical,NLP,9,ML_AI,Computer_Vision,10,ML_AI,SQL,9,Technical,Presentation,7,Soft
E16,6,SQAS,Classical_ML,7,ML_AI,Python,7,Technical,Finance,6,Domain,Communication,7,Soft,NLP,5,ML_AI,SQL,7,Technical,Agile,6,Soft,Spotfire,5,Technical,Stakeholder_Management,7,Soft,Leadership,7,Soft,Predictive_modelling,7,ML_AI
